ieta = 0, ix = 121, iy = 199, energy density = 0.208048 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.111002
ieta = 0, ix = 113, iy = 192, energy density = 0.159673 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.178621
ieta = 0, ix = 122, iy = 193, energy density = 0.109407 GeV/fm^3, shear |pi/(epsilon+3*P)| = 1.22487
ieta = 0, ix = 122, iy = 194, energy density = 0.112482 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.131138
ieta = 0, ix = 127, iy = 200, energy density = 0.122955 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.118156
ieta = 0, ix = 122, iy = 193, energy density = 0.111444 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.477314
ieta = 0, ix = 127, iy = 200, energy density = 0.122955 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.103227
ieta = 0, ix = 112, iy = 193, energy density = 0.165933 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.130947
ieta = 0, ix = 120, iy = 198, energy density = 0.0995095 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.106748
ieta = 0, ix = 118, iy = 195, energy density = 0.110143 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.114528
ieta = 0, ix = 121, iy = 198, energy density = 0.395833 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.11141
ieta = 0, ix = 126, iy = 201, energy density = 0.309699 GeV/fm^3, shear |pi/(epsilon+3*P)| = 1.13658
ieta = 0, ix = 128, iy = 205, energy density = 0.207606 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.301787
ieta = 0, ix = 220, iy = 202, energy density = 0.103625 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.180741
ieta = 0, ix = 121, iy = 198, energy density = 0.395833 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.114242
ieta = 0, ix = 126, iy = 201, energy density = 0.321369 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.107124
ieta = 0, ix = 120, iy = 197, energy density = 0.597511 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.332898
ieta = 0, ix = 129, iy = 205, energy density = 0.101096 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.129417
